loteria,concurso,data,local,dezenasOrdemSorteio,dezenas,trevos,timeCoracao,mesSorte,premiacoes,estadosPremiados,observacao,acumulou,proximoConcurso,dataProximoConcurso,localGanhadores,valorArrecadado,valorAcumuladoConcurso_0_5,valorAcumuladoConcursoEspecial,valorAcumuladoProximoConcurso,valorEstimadoProximoConcurso
diadesorte,480.0,13/07/2021,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['10', '20', '03', '28', '06', '31', '17']","['03', '06', '10', '17', '20', '28', '31']",[],,Setembro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 53, 'valorPremio': 1554.29}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1918, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 22840, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 86382, 'valorPremio': 2}]",[],,1.0,481.0,15/07/2021,[],1602668.0,0.0,0.0,593996.86,800000.0
diadesorte,519.0,16/10/2021,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['08', '19', '24', '13', '16', '12', '09']","['08', '09', '12', '13', '16', '19', '24']",[],,Novembro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 1836760.82}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 99, 'valorPremio': 1460.46}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 3363, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 39933, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 109242, 'valorPremio': 2}]",[],,0.0,520.0,19/10/2021,"[{'ganhadores': 1, 'municipio': 'PINHEIROS', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'ES'}]",2615860.0,0.0,0.0,0.0,200000.0
diadesorte,1132.0,23/10/2025,"ESPAÇO DA SORTE em SÃO PAULO, SP","['06', '13', '17', '29', '04', '23', '26']","['04', '06', '13', '17', '23', '26', '29']",[],,Janeiro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 4761847.69}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 206, 'valorPremio': 2063.28}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 5707, 'valorPremio': 25}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 60760, 'valorPremio': 5}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 159250, 'valorPremio': 2.5}]",[],,0.0,1133.0,25/10/2025,"[{'ganhadores': 1, 'municipio': 'IGARASSU', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PE'}]",5164162.5,0.0,0.0,0.0,200000.0
diadesorte,912.0,11/05/2024,"ESPAÇO DA SORTE em SÃO PAULO, SP","['15', '11', '20', '14', '04', '31', '10']","['04', '10', '11', '14', '15', '20', '31']",[],--,Dezembro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 386110.48}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 27, 'valorPremio': 3305.46}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1188, 'valorPremio': 25}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 15166, 'valorPremio': 5}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 42706, 'valorPremio': 2.5}]",[],,0.0,913.0,14/05/2024,"[{'ganhadores': 1, 'municipio': 'SALTO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",1470087.5,0.0,0.0,0.0,150000.0
diadesorte,981.0,26/10/2024,"ESPAÇO DA SORTE em SÃO PAULO, SP","['04', '10', '28', '08', '02', '01', '12']","['01', '02', '04', '08', '10', '12', '28']",,--,Dezembro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 55, 'valorPremio': 2030.85}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1977, 'valorPremio': 25}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 21253, 'valorPremio': 5}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 66556, 'valorPremio': 2.5}]",[],,1.0,982.0,29/10/2024,[],1969940.0,0.0,0.0,865315.72,1100000.0
diadesorte,375.0,29/10/2020,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['08', '13', '09', '30', '23', '20', '04']","['04', '08', '09', '13', '20', '23', '30']",[],,Dezembro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 42, 'valorPremio': 2405.51}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1589, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 21626, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 68017, 'valorPremio': 2}]",[],,1.0,376.0,31/10/2020,[],1696468.0,0.0,0.0,438935.79,700000.0
diadesorte,867.0,25/01/2024,"ESPAÇO DA SORTE em SÃO PAULO, SP","['25', '24', '30', '12', '22', '07', '26']","['07', '12', '22', '24', '25', '26', '30']",[],,Novembro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 40, 'valorPremio': 2841.73}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1564, 'valorPremio': 25}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 20179, 'valorPremio': 5}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 62369, 'valorPremio': 2.5}]",[],,1.0,868.0,27/01/2024,[],1931257.5,0.0,0.0,1080976.8,1350000.0
diadesorte,541.0,09/12/2021,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['31', '06', '17', '01', '08', '13', '04']","['01', '04', '06', '08', '13', '17', '31']",[],,Janeiro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 1409965.23}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 61, 'valorPremio': 1833.4}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 2073, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 26144, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 65833, 'valorPremio': 2}]",[],,0.0,542.0,11/12/2021,"[{'ganhadores': 1, 'municipio': 'CURITIBA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PR'}]",1869116.0,0.0,0.0,0.0,100000.0
diadesorte,625.0,05/07/2022,"ESPAÇO DA SORTE em SÃO PAULO, SP","['12', '02', '10', '06', '19', '31', '30']","['02', '06', '10', '12', '19', '30', '31']",,,Dezembro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 53, 'valorPremio': 1662.13}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1637, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 20215, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 55539, 'valorPremio': 2}]",[],,1.0,626.0,07/07/2022,[],1485966.0,0.0,0.0,554574.66,800000.0
diadesorte,146.0,04/05/2019,"Espaço Loterias Caixa em SÃO PAULO, SP","['19', '01', '23', '18', '09', '08', '17']","['01', '08', '09', '17', '18', '19', '23']",[],,Março,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 73, 'valorPremio': 1827.57}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 2438, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 31841, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 110510, 'valorPremio': 2}]",,,1.0,147.0,07/05/2019,[],2381680.0,0.0,0.0,311295.59,650000.0
diadesorte,196.0,31/08/2019,"Espaço Loterias Caixa em SÃO PAULO, SP","['29', '14', '04', '13', '26', '30', '22']","['04', '13', '14', '22', '26', '29', '30']",[],,Agosto,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 53, 'valorPremio': 2566.05}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 2171, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 29465, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 118089, 'valorPremio': 2}]",[],,1.0,197.0,03/09/2019,[],2410834.0,0.0,0.0,618710.94,1000000.0
diadesorte,385.0,21/11/2020,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['15', '06', '07', '14', '31', '22', '04']","['04', '06', '07', '14', '15', '22', '31']",[],,Junho,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 688411.28}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 21, 'valorPremio': 5440.98}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1302, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 19357, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 58812, 'valorPremio': 2}]",[],,0.0,386.0,24/11/2020,"[{'ganhadores': 1, 'municipio': 'PARAISO DO TOCANTINS', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'TO'}]",1765144.0,0.0,0.0,0.0,200000.0
diadesorte,481.0,15/07/2021,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['14', '04', '11', '24', '31', '23', '05']","['04', '05', '11', '14', '23', '24', '31']",[],,Junho,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 29, 'valorPremio': 3753.84}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1381, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 19653, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 58746, 'valorPremio': 2}]",[],,1.0,482.0,17/07/2021,[],1711906.0,0.0,0.0,848006.61,1100000.0
