loteria,concurso,data,local,dezenasOrdemSorteio,dezenas,trevos,timeCoracao,mesSorte,premiacoes,estadosPremiados,observacao,acumulou,proximoConcurso,dataProximoConcurso,localGanhadores,valorArrecadado,valorAcumuladoConcurso_0_5,valorAcumuladoConcursoEspecial,valorAcumuladoProximoConcurso,valorEstimadoProximoConcurso
lotofacil,656.0,28/07/2011,"Caminhão da Sorte em ROSEIRA, SP","['03', '18', '08', '14', '15', '05', '22', '09', '20', '07', '25', '11', '23', '02', '13']","['02', '03', '05', '07', '08', '09', '11', '13', '14', '15', '18', '20', '22', '23', '25']",[],,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 11, 'valorPremio': 108304.55}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 1450, 'valorPremio': 503.03}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 34748, 'valorPremio': 12.5}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 327871, 'valorPremio': 5}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 1554860, 'valorPremio': 2.5}]",[],,0.0,657.0,01/08/2011,"[{'ganhadores': 1, 'municipio': 'MANACAPURU', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'AM'}, {'ganhadores': 1, 'municipio': 'MANAUS', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'AM'}, {'ganhadores': 1, 'municipio': 'SALVADOR', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'BA'}, {'ganhadores': 1, 'municipio': 'FORTALEZA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'CE'}, {'ganhadores': 1, 'municipio': 'BRASÍLIA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'DF'}, {'ganhadores': 1, 'municipio': 'ALFENAS', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'MG'}, {'ganhadores': 1, 'municipio': 'LAGOA GRANDE', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'MG'}, {'ganhadores': 1, 'municipio': 'PINHAIS', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PR'}, {'ganhadores': 1, 'municipio': 'SÃO GONÇALO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'RJ'}, {'ganhadores': 2, 'municipio': 'SÃO PAULO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",19064847.5,0.0,0.0,0.0,1700000.0
lotofacil,960.0,25/09/2013,"Caminhão da Sorte em JACOBINA, BA","['16', '14', '01', '06', '07', '02', '24', '17', '10', '04', '20', '21', '12', '18', '03']","['01', '02', '03', '04', '06', '07', '10', '12', '14', '16', '17', '18', '20', '21', '24']",[],,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 5, 'valorPremio': 349978.92}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 502, 'valorPremio': 1532.23}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 20532, 'valorPremio': 12.5}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 241227, 'valorPremio': 5}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 1300020, 'valorPremio': 2.5}]",[],,0.0,961.0,27/09/2013,"[{'ganhadores': 1, 'municipio': 'DOURADINA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PR'}, {'ganhadores': 1, 'municipio': 'TRÊS COROAS', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'RS'}, {'ganhadores': 1, 'municipio': 'RIOLÂNDIA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}, {'ganhadores': 1, 'municipio': 'SÃO JOSÉ DOS CAMPOS', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}, {'ganhadores': 1, 'municipio': 'SÃO PAULO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",19443263.75,0.0,3123344.76,0.0,1500000.0
lotofacil,1838.0,10/07/2019,"Espaço Loterias Caixa em SÃO PAULO, SP","['03', '09', '23', '12', '16', '05', '25', '21', '10', '01', '08', '22', '20', '15', '18']","['01', '03', '05', '08', '09', '10', '12', '15', '16', '18', '20', '21', '22', '23', '25']",[],,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 7, 'valorPremio': 229825.36}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 994, 'valorPremio': 711.42}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 29464, 'valorPremio': 20}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 274284, 'valorPremio': 8}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 1157698, 'valorPremio': 4}]",[],,0.0,1839.0,12/07/2019,"[{'ganhadores': 1, 'municipio': 'SALVADOR', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'BA'}, {'ganhadores': 1, 'municipio': 'VITÓRIA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'ES'}, {'ganhadores': 1, 'municipio': 'ARAGUARI', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'MG'}, {'ganhadores': 1, 'municipio': 'PORTO MURTINHO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'MS'}, {'ganhadores': 1, 'municipio': 'MARIPÁ', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PR'}, {'ganhadores': 1, 'municipio': 'NATAL', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'RN'}, {'ganhadores': 1, 'municipio': 'PORTO NACIONAL', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'TO'}]",25260208.0,0.0,60191753.98,0.0,2000000.0
lotofacil,670.0,15/09/2011,"Caminhão da Sorte em ALEGRETE, RS","['01', '18', '21', '20', '14', '07', '25', '10', '22', '15', '08', '12', '23', '17', '13']","['01', '07', '08', '10', '12', '13', '14', '15', '17', '18', '20', '21', '22', '23', '25']",[],,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 1869250.25}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 545, 'valorPremio': 1469.92}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 23349, 'valorPremio': 12.5}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 283376, 'valorPremio': 5}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 1587363, 'valorPremio': 2.5}]",[],,0.0,671.0,19/09/2011,"[{'ganhadores': 1, 'municipio': 'QUEIMADOS', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'RJ'}]",21563226.25,0.0,0.0,0.0,1800000.0
lotofacil,2348.0,15/10/2021,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['15', '24', '22', '13', '19', '08', '01', '05', '23', '17', '09', '11', '20', '14', '02']","['01', '02', '05', '08', '09', '11', '13', '14', '15', '17', '19', '20', '22', '23', '24']",[],,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 5, 'valorPremio': 275272.83}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 594, 'valorPremio': 694.06}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 13732, 'valorPremio': 25}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 140801, 'valorPremio': 10}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 740778, 'valorPremio': 5}]",[],,0.0,2349.0,16/10/2021,"[{'ganhadores': 1, 'municipio': 'MARACACUME', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'MA'}, {'ganhadores': 1, 'municipio': 'SAO LUIS', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'MA'}, {'ganhadores': 1, 'municipio': 'NOVA PORTEIRINHA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'MG'}, {'ganhadores': 1, 'municipio': 'NOVO ORIENTE DO PIAUI', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PI'}, {'ganhadores': 1, 'municipio': 'SAO PAULO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",19899760.0,2063333.84,11285877.48,0.0,1500000.0
lotofacil,2233.0,18/05/2021,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['01', '14', '16', '06', '15', '12', '10', '25', '02', '20', '09', '13', '07', '08', '21']","['01', '02', '06', '07', '08', '09', '10', '12', '13', '14', '15', '16', '20', '21', '25']",[],,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 138, 'valorPremio': 2316.87}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 5321, 'valorPremio': 25}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 78708, 'valorPremio': 10}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 502381, 'valorPremio': 5}]",[],"ACUMULADO PARA O PRÓXIMO CONCURSO: R$ 1.524.858,02",1.0,2234.0,19/05/2021,[],16021932.5,651980.26,72214672.69,1524858.02,3500000.0
lotofacil,293.0,28/01/2008,"Caminhão da Sorte em Guarapari, ES","['14', '12', '03', '09', '25', '22', '13', '24', '02', '06', '01', '23', '18', '15', '19']","['01', '02', '03', '06', '09', '12', '13', '14', '15', '18', '19', '22', '23', '24', '25']",[],,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 3, 'valorPremio': 311274.88}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 722, 'valorPremio': 554.31}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 40725, 'valorPremio': 10}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 266109, 'valorPremio': 4}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 1420232, 'valorPremio': 2}]",[],"Ganhadores de 15 acertos: Brasília/DF, Cortês/PE e São Paulo/SP.",0.0,294.0,31/01/2008,"[{'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'DF'}, {'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PE'}, {'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",0.0,0.0,0.0,0.0,1200000.0
lotofacil,3187.0,21/08/2024,"ESPAÇO DA SORTE em SAO PAULO, SP","['01', '25', '16', '23', '19', '24', '07', '13', '20', '12', '14', '17', '21', '22', '11']","['01', '07', '11', '12', '13', '14', '16', '17', '19', '20', '21', '22', '23', '24', '25']",[],,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 2, 'valorPremio': 782787.98}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 191, 'valorPremio': 1718.67}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 14228, 'valorPremio': 30}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 73153, 'valorPremio': 12}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 453136, 'valorPremio': 6}]",[],,0.0,3188.0,22/08/2024,"[{'ganhadores': 1, 'municipio': 'GOIAS', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'GO'}, {'ganhadores': 1, 'municipio': 'MORRINHOS', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'GO'}]",17602791.0,1630753.26,121954425.42,0.0,1700000.0
lotofacil,1611.0,12/01/2018,"Caminhão da Sorte em POMERODE, SC","['06', '03', '14', '22', '10', '11', '15', '08', '12', '04', '07', '01', '09', '20', '24']","['01', '03', '04', '06', '07', '08', '09', '10', '11', '12', '14', '15', '20', '22', '24']",[],,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 2414969.61}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 301, 'valorPremio': 2468.67}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 13102, 'valorPremio': 20}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 209937, 'valorPremio': 8}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 1079967, 'valorPremio': 4}]",[],,0.0,1612.0,15/01/2018,"[{'ganhadores': 1, 'municipio': 'CURITIBA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PR'}]",26687938.0,0.0,24234045.85,0.0,1700000.0
lotofacil,553.0,02/08/2010,"Caminhão da Sorte em PATROCÍNIO, MG","['10', '23', '21', '07', '14', '15', '17', '08', '12', '04', '05', '24', '13', '18', '09']","['04', '05', '07', '08', '09', '10', '12', '13', '14', '15', '17', '18', '21', '23', '24']",[],,-,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 6, 'valorPremio': 236490.57}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 552, 'valorPremio': 1101.66}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 21395, 'valorPremio': 12.5}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 258936, 'valorPremio': 5}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 1319433, 'valorPremio': 2.5}]",[],,0.0,554.0,05/08/2010,"[{'ganhadores': 1, 'municipio': 'CATU', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'BA'}, {'ganhadores': 1, 'municipio': 'GOIÂNIA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'GO'}, {'ganhadores': 1, 'municipio': 'CAMPO GRANDE', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'MS'}, {'ganhadores': 1, 'municipio': 'POCONÉ', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'MT'}, {'ganhadores': 1, 'municipio': 'CACHOEIRAS DE MACACU', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'RJ'}, {'ganhadores': 1, 'municipio': 'CAIEIRAS', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",17620751.25,0.0,0.0,0.0,1200000.0
