,loteria,concurso,data,local,dezenasOrdemSorteio,dezenas,trevos,timeCoracao,mesSorte,premiacoes,estadosPremiados,observacao,acumulou,proximoConcurso,dataProximoConcurso,localGanhadores,valorArrecadado,valorAcumuladoConcurso_0_5,valorAcumuladoConcursoEspecial,valorAcumuladoProximoConcurso,valorEstimadoProximoConcurso
0,megasena,1551.0,27/11/2013,"Auditório em OSASCO, SP","['02', '23', '38', '15', '21', '19']","['02', '15', '19', '21', '23', '38']",,N/A,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 2820316.51}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 131, 'valorPremio': 11687.25}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 7631, 'valorPremio': 286.61}]",[],Sorteio realizado em Estúdio de TV.,0.0,1552.0,30/11/2013,"[{'ganhadores': 1, 'municipio': 'BOA VISTA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'RR'}]",26151116.0,4782195.52,55716523.25,0.0,3000000.0
2,megasena,664.0,14/05/2005,"Caminhão da Sorte em PASSOS, MG","['12', '01', '55', '59', '38', '36']","['01', '12', '36', '38', '55', '59']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 74, 'valorPremio': 18450.77}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 4971, 'valorPremio': 273.62}]",[],"ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 18/05/2005: R$26.000.000,00.",1.0,665.0,18/05/2005,[],0.0,23857740.39,0.0,23857740.39,0.0
4,megasena,366.0,01/06/2002,"Caminhão da Sorte em Orlândia, SP","['06', '04', '51', '07', '21', '15']","['04', '06', '07', '15', '21', '51']",[],,null,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 41, 'valorPremio': 12721.16}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 3489, 'valorPremio': 148.93}]",[],"Estimativa de prêmio (SENA) próximo concurso: R$1.200.000,00.",1.0,367.0,05/06/2002,[],0.0,5048832.63,0.0,625880.91,0.0
5,megasena,537.0,11/02/2004,"Caminhão da Sorte em IBAITI, PR","['37', '03', '19', '34', '39', '07']","['03', '07', '19', '34', '37', '39']",,,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 2054340.05}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 128, 'valorPremio': 4366.34}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 5345, 'valorPremio': 104.17}]",[],"Estimativa de prêmio (SENA) próximo concurso: R$1.000.000,00.",0.0,538.0,14/02/2004,"[{'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'RS'}]",0.0,2354230.53,0.0,0.0,0.0
7,megasena,2786.0,16/10/2024,"ESPAÇO DA SORTE em SÃO PAULO, SP","['06', '17', '11', '51', '20', '40']","['06', '11', '17', '20', '40', '51']",[],,null,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 71, 'valorPremio': 54038.72}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 5135, 'valorPremio': 1067.39}]",[],,1.0,2787.0,19/10/2024,[],66546110.0,8337773.84,107699050.1,33761273.32,42000000.0
15,megasena,2632.0,14/09/2023,"ESPAÇO DA SORTE em SÃO PAULO, SP","['10', '57', '05', '56', '38', '27']","['05', '10', '27', '38', '56', '57']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 48, 'valorPremio': 33801.98}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 2911, 'valorPremio': 796.23}]",[],,1.0,2633.0,16/09/2023,[],28141205.0,10597131.05,81510468.6,5495433.6,9000000.0
21,megasena,2906.0,26/08/2025,"ESPAÇO DA SORTE em SÃO PAULO, SP","['46', '41', '49', '33', '37', '17']","['17', '33', '37', '41', '46', '49']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 33707841.37}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 43, 'valorPremio': 42601.48}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 3250, 'valorPremio': 929.09}]",[],,0.0,2907.0,28/08/2025,"[{'ganhadores': 1, 'municipio': 'CANAL ELETRONICO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': '--'}]",45970242.0,6444418.85,91609267.08,0.0,3500000.0
25,megasena,632.0,19/01/2005,"Caminhão da Sorte em CALDAS NOVAS, GO","['02', '54', '48', '51', '19', '28']","['02', '19', '28', '48', '51', '54']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 26, 'valorPremio': 19697.02}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 1962, 'valorPremio': 260.03}]",[],"ACUMULOU! Estimativa de prêmio (SENA), próximo concurso: R$2.000.000,00 (Dois milhões de reais).",1.0,633.0,22/01/2005,[],0.0,2928942.27,0.0,896214.44,0.0
28,megasena,1371.0,14/03/2012,"Caminhão da Sorte em ITUPORANGA, SC","['47', '11', '08', '49', '03', '04']","['03', '04', '08', '11', '47', '49']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 101, 'valorPremio': 12265.25}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 7421, 'valorPremio': 238.47}]",[],,1.0,1372.0,17/03/2012,[],21159460.0,3889135.77,9753725.5,2281981.94,5000000.0
29,megasena,2561.0,04/02/2023,"ESPAÇO DA SORTE em SÃO PAULO, SP","['22', '44', '56', '51', '37', '19']","['19', '22', '37', '44', '51', '56']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 393, 'valorPremio': 23693.33}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 19908, 'valorPremio': 668.17}]",[],,1.0,2562.0,08/02/2023,[],161502007.5,19895852.54,13502347.64,134030908.34,160000000.0
