,loteria,concurso,data,local,dezenasOrdemSorteio,dezenas,trevos,timeCoracao,mesSorte,premiacoes,estadosPremiados,observacao,acumulou,proximoConcurso,dataProximoConcurso,localGanhadores,valorArrecadado,valorAcumuladoConcurso_0_5,valorAcumuladoConcursoEspecial,valorAcumuladoProximoConcurso,valorEstimadoProximoConcurso
10,maismilionaria,241.0,12/04/2025,"Espaço da Sorte em SAO PAULO, SP","['50', '16', '27', '05', '48', '46', '02', '06']","['05', '16', '27', '46', '48', '50']","['2', '6']",,,"[{'descricao': '6 acertos + 2 trevos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos + 1 ou nenhum trevo', 'faixa': 2, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos + 2 trevos', 'faixa': 3, 'ganhadores': 2, 'valorPremio': 200383.85}, {'descricao': '5 acertos + 1 ou nenhum trevo', 'faixa': 4, 'ganhadores': 14, 'valorPremio': 12722.78}, {'descricao': '4 acertos + 2 trevos', 'faixa': 5, 'ganhadores': 138, 'valorPremio': 1382.91}, {'descricao': '4 acertos + 1 ou nenhum trevo', 'faixa': 6, 'ganhadores': 1985, 'valorPremio': 96.14}, {'descricao': '3 acertos + 2 trevos', 'faixa': 7, 'ganhadores': 2550, 'valorPremio': 50}, {'descricao': '3 acertos + 1 trevo', 'faixa': 8, 'ganhadores': 20568, 'valorPremio': 24}, {'descricao': '2 acertos + 2 trevos', 'faixa': 9, 'ganhadores': 16849, 'valorPremio': 12}, {'descricao': '2 acertos + 1 trevo', 'faixa': 10, 'ganhadores': 142570, 'valorPremio': 6}]",[],,1.0,242.0,16/04/2025,[],11681196.0,0.0,0.0,67570039.3,68500000.0
26,maismilionaria,246.0,30/04/2025,"Espaço da Sorte em SAO PAULO, SP","['50', '06', '17', '48', '40', '29', '03', '02']","['06', '17', '29', '40', '48', '50']","['2', '3']",,,"[{'descricao': '6 acertos + 2 trevos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos + 1 ou nenhum trevo', 'faixa': 2, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos + 2 trevos', 'faixa': 3, 'ganhadores': 1, 'valorPremio': 428030.15}, {'descricao': '5 acertos + 1 ou nenhum trevo', 'faixa': 4, 'ganhadores': 28, 'valorPremio': 6794.13}, {'descricao': '4 acertos + 2 trevos', 'faixa': 5, 'ganhadores': 136, 'valorPremio': 1498.7}, {'descricao': '4 acertos + 1 ou nenhum trevo', 'faixa': 6, 'ganhadores': 1550, 'valorPremio': 131.49}, {'descricao': '3 acertos + 2 trevos', 'faixa': 7, 'ganhadores': 2307, 'valorPremio': 50}, {'descricao': '3 acertos + 1 trevo', 'faixa': 8, 'ganhadores': 18568, 'valorPremio': 24}, {'descricao': '2 acertos + 2 trevos', 'faixa': 9, 'ganhadores': 18229, 'valorPremio': 12}, {'descricao': '2 acertos + 1 trevo', 'faixa': 10, 'ganhadores': 143302, 'valorPremio': 6}]",[],,1.0,247.0,03/05/2025,[],12107082.0,0.0,0.0,74036039.1,75000000.0
42,maismilionaria,160.0,03/07/2024,"Espaço da Sorte em SAO PAULO, SP","['11', '27', '10', '45', '32', '12', '04', '02']","['10', '11', '12', '27', '32', '45']","['2', '4']",, ,"[{'descricao': '6 acertos + 2 trevos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos + 1 ou nenhum trevo', 'faixa': 2, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos + 2 trevos', 'faixa': 3, 'ganhadores': 1, 'valorPremio': 595060.96}, {'descricao': '5 acertos + 1 ou nenhum trevo', 'faixa': 4, 'ganhadores': 39, 'valorPremio': 6781.32}, {'descricao': '4 acertos + 2 trevos', 'faixa': 5, 'ganhadores': 161, 'valorPremio': 1760.01}, {'descricao': '4 acertos + 1 ou nenhum trevo', 'faixa': 6, 'ganhadores': 2315, 'valorPremio': 122.4}, {'descricao': '3 acertos + 2 trevos', 'faixa': 7, 'ganhadores': 3382, 'valorPremio': 50}, {'descricao': '3 acertos + 1 trevo', 'faixa': 8, 'ganhadores': 26311, 'valorPremio': 24}, {'descricao': '2 acertos + 2 trevos', 'faixa': 9, 'ganhadores': 26502, 'valorPremio': 12}, {'descricao': '2 acertos + 1 trevo', 'faixa': 10, 'ganhadores': 199357, 'valorPremio': 6}]",[],,1.0,161.0,06/07/2024,[],17088414.0,0.0,0.0,234495318.62,236000000.0
50,maismilionaria,62.0,22/07/2023,"Espaço da Sorte em SAO PAULO, SP","['29', '25', '47', '04', '35', '44', '05', '01']","['04', '25', '29', '35', '44', '47']","['1', '5']",,,"[{'descricao': '6 acertos + 2 trevos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos + 1 ou nenhum trevo', 'faixa': 2, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos + 2 trevos', 'faixa': 3, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos + 1 ou nenhum trevo', 'faixa': 4, 'ganhadores': 14, 'valorPremio': 28463.78}, {'descricao': '4 acertos + 2 trevos', 'faixa': 5, 'ganhadores': 45, 'valorPremio': 2043.56}, {'descricao': '4 acertos + 1 ou nenhum trevo', 'faixa': 6, 'ganhadores': 875, 'valorPremio': 150.13}, {'descricao': '3 acertos + 2 trevos', 'faixa': 7, 'ganhadores': 1361, 'valorPremio': 50}, {'descricao': '3 acertos + 1 trevo', 'faixa': 8, 'ganhadores': 9759, 'valorPremio': 24}, {'descricao': '2 acertos + 2 trevos', 'faixa': 9, 'ganhadores': 10158, 'valorPremio': 12}, {'descricao': '2 acertos + 1 trevo', 'faixa': 10, 'ganhadores': 81257, 'valorPremio': 6}]",[],,1.0,63.0,26/07/2023,[],7530444.0,0.0,0.0,56680953.77,57500000.0
68,maismilionaria,280.0,27/08/2025,"Espaço da Sorte em SAO PAULO, SP","['37', '18', '29', '22', '25', '49', '04', '01']","['18', '22', '25', '29', '37', '49']","['1', '4']", ,,"[{'descricao': '6 acertos + 2 trevos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos + 1 ou nenhum trevo', 'faixa': 2, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos + 2 trevos', 'faixa': 3, 'ganhadores': 2, 'valorPremio': 246662.02}, {'descricao': '5 acertos + 1 ou nenhum trevo', 'faixa': 4, 'ganhadores': 43, 'valorPremio': 5098.96}, {'descricao': '4 acertos + 2 trevos', 'faixa': 5, 'ganhadores': 119, 'valorPremio': 1974.08}, {'descricao': '4 acertos + 1 ou nenhum trevo', 'faixa': 6, 'ganhadores': 1957, 'valorPremio': 120.03}, {'descricao': '3 acertos + 2 trevos', 'faixa': 7, 'ganhadores': 2211, 'valorPremio': 50}, {'descricao': '3 acertos + 1 trevo', 'faixa': 8, 'ganhadores': 19779, 'valorPremio': 24}, {'descricao': '2 acertos + 2 trevos', 'faixa': 9, 'ganhadores': 16678, 'valorPremio': 12}, {'descricao': '2 acertos + 1 trevo', 'faixa': 10, 'ganhadores': 148935, 'valorPremio': 6}]",,,1.0,281.0,30/08/2025,[],13447584.0,0.0,0.0,148575116.04,150000000.0
94,maismilionaria,56.0,17/06/2023,"Espaço da Sorte em SAO PAULO, SP","['46', '28', '14', '01', '27', '44', '03', '04']","['01', '14', '27', '28', '44', '46']","['3', '4']",, ,"[{'descricao': '6 acertos + 2 trevos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos + 1 ou nenhum trevo', 'faixa': 2, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos + 2 trevos', 'faixa': 3, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos + 1 ou nenhum trevo', 'faixa': 4, 'ganhadores': 26, 'valorPremio': 16211.35}, {'descricao': '4 acertos + 2 trevos', 'faixa': 5, 'ganhadores': 89, 'valorPremio': 1561.28}, {'descricao': '4 acertos + 1 ou nenhum trevo', 'faixa': 6, 'ganhadores': 1007, 'valorPremio': 137.98}, {'descricao': '3 acertos + 2 trevos', 'faixa': 7, 'ganhadores': 1632, 'valorPremio': 50}, {'descricao': '3 acertos + 1 trevo', 'faixa': 8, 'ganhadores': 11349, 'valorPremio': 24}, {'descricao': '2 acertos + 2 trevos', 'faixa': 9, 'ganhadores': 12790, 'valorPremio': 12}, {'descricao': '2 acertos + 1 trevo', 'faixa': 10, 'ganhadores': 88478, 'valorPremio': 6}]",,,1.0,57.0,24/06/2023,[],8144796.0,0.0,0.0,50104509.86,51000000.0
98,maismilionaria,103.0,13/12/2023,"Espaço da Sorte em SAO PAULO, SP","['29', '32', '11', '40', '02', '04', '04', '06']","['02', '04', '11', '29', '32', '40']","['4', '6']",,,"[{'descricao': '6 acertos + 2 trevos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos + 1 ou nenhum trevo', 'faixa': 2, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos + 2 trevos', 'faixa': 3, 'ganhadores': 1, 'valorPremio': 463816.74}, {'descricao': '5 acertos + 1 ou nenhum trevo', 'faixa': 4, 'ganhadores': 15, 'valorPremio': 13742.72}, {'descricao': '4 acertos + 2 trevos', 'faixa': 5, 'ganhadores': 114, 'valorPremio': 1937.41}, {'descricao': '4 acertos + 1 ou nenhum trevo', 'faixa': 6, 'ganhadores': 1557, 'valorPremio': 141.85}, {'descricao': '3 acertos + 2 trevos', 'faixa': 7, 'ganhadores': 1787, 'valorPremio': 50}, {'descricao': '3 acertos + 1 trevo', 'faixa': 8, 'ganhadores': 16343, 'valorPremio': 24}, {'descricao': '2 acertos + 2 trevos', 'faixa': 9, 'ganhadores': 13540, 'valorPremio': 12}, {'descricao': '2 acertos + 1 trevo', 'faixa': 10, 'ganhadores': 128392, 'valorPremio': 6}]",[],,1.0,104.0,16/12/2023,[],12372972.0,0.0,0.0,108031744.06,110000000.0
133,maismilionaria,5.0,25/06/2022,"ESPAÇO DA SORTE em SAO PAULO, SP","['26', '16', '21', '06', '45', '24', '02', '05']","['06', '16', '21', '24', '26', '45']","['2', '5']",nan,,"[{'descricao': '6 acertos + 2 trevos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos + 1 ou nenhum trevo', 'faixa': 2, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos + 2 trevos', 'faixa': 3, 'ganhadores': 2, 'valorPremio': 100965.13}, {'descricao': '5 acertos + 1 ou nenhum trevo', 'faixa': 4, 'ganhadores': 10, 'valorPremio': 8974.68}, {'descricao': '4 acertos + 2 trevos', 'faixa': 5, 'ganhadores': 59, 'valorPremio': 1629.78}, {'descricao': '4 acertos + 1 ou nenhum trevo', 'faixa': 6, 'ganhadores': 580, 'valorPremio': 165.78}, {'descricao': '3 acertos + 2 trevos', 'faixa': 7, 'ganhadores': 1055, 'valorPremio': 50}, {'descricao': '3 acertos + 1 trevo', 'faixa': 8, 'ganhadores': 6995, 'valorPremio': 24}, {'descricao': '2 acertos + 2 trevos', 'faixa': 9, 'ganhadores': 9061, 'valorPremio': 12}, {'descricao': '2 acertos + 1 trevo', 'faixa': 10, 'ganhadores': 57626, 'valorPremio': 6}]",[],,1.0,6.0,02/07/2022,[],5530842.0,0.0,0.0,5923925.91,10000000.0
159,maismilionaria,82.0,30/09/2023,"Espaço da Sorte em SAO PAULO, SP","['21', '34', '12', '18', '27', '13', '02', '03']","['12', '13', '18', '21', '27', '34']","['2', '3']",,,"[{'descricao': '6 acertos + 2 trevos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos + 1 ou nenhum trevo', 'faixa': 2, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos + 2 trevos', 'faixa': 3, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos + 1 ou nenhum trevo', 'faixa': 4, 'ganhadores': 22, 'valorPremio': 25368.12}, {'descricao': '4 acertos + 2 trevos', 'faixa': 5, 'ganhadores': 110, 'valorPremio': 1672.62}, {'descricao': '4 acertos + 1 ou nenhum trevo', 'faixa': 6, 'ganhadores': 1665, 'valorPremio': 110.5}, {'descricao': '3 acertos + 2 trevos', 'faixa': 7, 'ganhadores': 2271, 'valorPremio': 50}, {'descricao': '3 acertos + 1 trevo', 'faixa': 8, 'ganhadores': 19665, 'valorPremio': 24}, {'descricao': '2 acertos + 2 trevos', 'faixa': 9, 'ganhadores': 16725, 'valorPremio': 12}, {'descricao': '2 acertos + 1 trevo', 'faixa': 10, 'ganhadores': 143152, 'valorPremio': 6}]",,,1.0,83.0,04/10/2023,[],11440776.0,0.0,0.0,77338876.75,78000000.0
169,maismilionaria,145.0,11/05/2024,"Espaço da Sorte em SAO PAULO, SP","['17', '18', '11', '13', '10', '37', '01', '05']","['10', '11', '13', '17', '18', '37']","['1', '5']",, ,"[{'descricao': '6 acertos + 2 trevos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos + 1 ou nenhum trevo', 'faixa': 2, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos + 2 trevos', 'faixa': 3, 'ganhadores': 3, 'valorPremio': 205816.9}, {'descricao': '5 acertos + 1 ou nenhum trevo', 'faixa': 4, 'ganhadores': 48, 'valorPremio': 5717.14}, {'descricao': '4 acertos + 2 trevos', 'faixa': 5, 'ganhadores': 182, 'valorPremio': 1615.51}, {'descricao': '4 acertos + 1 ou nenhum trevo', 'faixa': 6, 'ganhadores': 2771, 'valorPremio': 106.1}, {'descricao': '3 acertos + 2 trevos', 'faixa': 7, 'ganhadores': 3589, 'valorPremio': 50}, {'descricao': '3 acertos + 1 trevo', 'faixa': 8, 'ganhadores': 28730, 'valorPremio': 24}, {'descricao': '2 acertos + 2 trevos', 'faixa': 9, 'ganhadores': 28959, 'valorPremio': 12}, {'descricao': '2 acertos + 1 trevo', 'faixa': 10, 'ganhadores': 220016, 'valorPremio': 6}]",[],,1.0,146.0,15/05/2024,[],18058584.0,0.0,0.0,183398827.44,185000000.0
